GAME_ID,Season ID,Home Team Name,Away Team Name,Home Points,Away Points,Home Win,Match,Date
0021800163,22018,Oklahoma City Thunder,Houston Rockets,98,80,W,OKC vs. HOU,2018-11-08
0021800164,22018,Phoenix Suns,Boston Celtics,109,116,W,BOS @ PHX,2018-11-08
0021800165,22018,Portland Trail Blazers,Los Angeles Clippers,116,105,L,LAC @ POR,2018-11-08
0021800166,22018,Golden State Warriors,Milwaukee Bucks,111,134,W,MIL @ GSW,2018-11-08
0021800167,22018,Orlando Magic,Washington Wizards,117,108,W,ORL vs. WAS,2018-11-09
0021800168,22018,Philadelphia 76ers,Charlotte Hornets,133,132,W,PHI vs. CHA,2018-11-09
0021800169,22018,Atlanta Hawks,Detroit Pistons,109,124,W,DET @ ATL,2018-11-09
0021800170,22018,Miami Heat,Indiana Pacers,102,110,W,IND @ MIA,2018-11-09
0021800171,22018,Denver Nuggets,Brooklyn Nets,110,112,L,DEN vs. BKN,2018-11-09
0021800172,22018,Utah Jazz,Boston Celtics,123,115,L,BOS @ UTA,2018-11-09
0021800173,22018,Sacramento Kings,Minnesota Timberwolves,121,110,W,SAC vs. MIN,2018-11-09
0021800174,22018,Toronto Raptors,New York Knicks,128,112,W,TOR vs. NYK,2018-11-10
0021800175,22018,Los Angeles Clippers,Milwaukee Bucks,128,126,L,MIL @ LAC,2018-11-10
0021800176,22018,New Orleans Pelicans,Phoenix Suns,119,99,W,NOP vs. PHX,2018-11-10
0021800177,22018,Miami Heat,Washington Wizards,110,116,W,WAS @ MIA,2018-11-10
0021800178,22018,Chicago Bulls,Cleveland Cavaliers,99,98,W,CHI vs. CLE,2018-11-10
0021800179,22018,Memphis Grizzlies,Philadelphia 76ers,112,106,W,MEM vs. PHI,2018-11-10
0021800180,22018,San Antonio Spurs,Houston Rockets,96,89,W,SAS vs. HOU,2018-11-10
0021800181,22018,Dallas Mavericks,Oklahoma City Thunder,111,96,L,OKC @ DAL,2018-11-10
0021800182,22018,Golden State Warriors,Brooklyn Nets,116,100,L,BKN @ GSW,2018-11-10
0021800183,22018,Sacramento Kings,Los Angeles Lakers,86,101,W,LAL @ SAC,2018-11-10
0021800184,22018,Detroit Pistons,Charlotte Hornets,103,113,L,DET vs. CHA,2018-11-11
0021800185,22018,Houston Rockets,Indiana Pacers,115,103,W,HOU vs. IND,2018-11-11
0021800186,22018,New York Knicks,Orlando Magic,89,115,W,ORL @ NYK,2018-11-11
0021800187,22018,Denver Nuggets,Milwaukee Bucks,114,121,W,MIL @ DEN,2018-11-11
0021800188,22018,Portland Trail Blazers,Boston Celtics,100,94,W,POR vs. BOS,2018-11-11
0021800189,22018,Los Angeles Lakers,Atlanta Hawks,107,106,L,ATL @ LAL,2018-11-11
0021800190,22018,Washington Wizards,Orlando Magic,117,109,W,WAS vs. ORL,2018-11-12
0021800191,22018,Miami Heat,Philadelphia 76ers,114,124,L,MIA vs. PHI,2018-11-12
0021800192,22018,Toronto Raptors,New Orleans Pelicans,110,126,L,TOR vs. NOP,2018-11-12
0021800193,22018,Chicago Bulls,Dallas Mavericks,98,103,W,DAL @ CHI,2018-11-12
0021800194,22018,Memphis Grizzlies,Utah Jazz,88,96,W,UTA @ MEM,2018-11-12
0021800195,22018,Minnesota Timberwolves,Brooklyn Nets,120,113,L,BKN @ MIN,2018-11-12
0021800196,22018,Oklahoma City Thunder,Phoenix Suns,118,101,L,PHX @ OKC,2018-11-12
0021800197,22018,Sacramento Kings,San Antonio Spurs,104,99,W,SAC vs. SAS,2018-11-12
